Taxonomic groups,Genus,Species,European IUCN Red List Version 2021-3,Regional IUCN Red List Version 2005,Regional Red List of vascular plants 2022,Latitude,Longitude,Source,Resolution
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.896345,-6.93704,GBIF,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9669083967,-6.77342676373,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9486740734,-6.76199766952,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8978362336,-6.93253778888,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8660026044,-6.68054567484,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9177544439,-6.57014895257,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8712643528,-6.95749383665,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8538987605,-6.99418575882,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8960598896,-6.83616131527,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8888352723,-6.93282816133,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8868318319,-6.82442044333,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8967354899,-6.87230147471,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8492034688,-6.74137921133,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8622632088,-6.95778043846,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8716903557,-6.98157968677,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8932438583,-6.69161335655,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8785104457,-6.86085549258,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8863727372,-6.80033135156,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8602843577,-6.84941584999,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9426228382,-6.9190279511,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8584396203,-6.75310110488,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9306743125,-6.76262727296,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9579084828,-6.77374023028,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9496044021,-6.81022206107,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9527011477,-6.97902481755,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8835331722,-7.14993503696,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8822666265,-6.59559743145,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8429538123,-6.88612920861,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9329607482,-6.88315859873,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9158381087,-6.93195664664,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9370122941,-6.62972608011,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8817595834,-6.57151393822,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9367627181,-6.6176736621,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8841098766,-7.18607499501,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9289300492,-7.17274475783,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8929211645,-7.17377176576,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9160546045,-6.94400769045,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9445389779,-7.02753655616,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9522739395,-6.9549085316,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.8697335949,-6.87319751789,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9437000116,-6.97930921002,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9039086624,-6.77561803038,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9576739297,-6.76168265238,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.976373897,-6.79723551725,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.83709011414097,-6.6829474942897065,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.84584594392142,-6.670586975215425,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.85435414886435,-6.646186052169915,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.84608954187998,-6.682622625683936,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.85484527899052,-6.670260274234573,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.86457206808644,-6.706050927807732,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.89885285882894,-6.6204429635045985,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.88985391513247,-6.62077716160491,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.881103905356404,-6.633152998536772,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.86359958607805,-6.6578945534769165,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.86505074355228,-6.730129998166196,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.87452420493477,-6.753894452794556,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.87681740712818,-6.874318069334779,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.932567365382376,-6.96895508149733,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.890224243080375,-7.126988016502596,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.907832128930814,-7.102360264130098,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.92563563400014,-7.08977275339237,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.92603431423441,-7.113880660476305,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.93562481206663,-7.149783207320316,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.93581852173915,-7.161839394267218,Floradata,1 Km
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.94482052976463,-7.1615807504621305,Floradata,1 Km
Flora (vascular plants),Acinos,Acinos alpinus,Least Concern (LC),,Not Evaluated (NE),41.8534755474,-6.97010639654,SP Botânica,GPS
Flora (vascular plants),Acinos,Acinos alpinus,Least Concern (LC),,Not Evaluated (NE),41.8538987605,-6.99418575882,SP Botânica,GPS
Flora (vascular plants),Acinos,Acinos alpinus,Least Concern (LC),,Not Evaluated (NE),41.8888352723,-6.93282816133,SP Botânica,GPS
Flora (vascular plants),Acinos,Acinos alpinus,Least Concern (LC),,Not Evaluated (NE),41.8356851504,-6.98271182357,SP Botânica,GPS
Flora (vascular plants),Acinos,Acinos alpinus,Least Concern (LC),,Not Evaluated (NE),41.8870594859,-6.8364651985,SP Botânica,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.9386261856,-6.6165466033,INaturalist,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.961334,-6.771678,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.95241,-6.801382,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.983,-6.795,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.95231,-6.804654,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.93651,-6.755176,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.862785,-7.002668,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.9643,-6.7741,EOD - Bird (GBIF Dataset),GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.983,-6.795,GBIF,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.9365,-6.75518,GBIF,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.9643,-6.7741,GBIF,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.938626,-6.616547,GBIF,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.8628,-7.00267,GBIF,GPS
Birds,Actitis,Actitis hypoleucos,Least Concern (LC),Vulnerable (VU),,41.9523,-6.80465,GBIF,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9408202326,-6.7639678717,INaturalist,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.94082,-6.763968,GBIF,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.901162,-6.761777,GBIF,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.8372718863,-6.59728332157,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.8629001202,-6.99390434652,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9177544439,-6.57014895257,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.8932438583,-6.69161335655,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9306743125,-6.76262727296,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.8820137356,-6.58355560753,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.8460182936,-6.58491136708,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9282614751,-6.64211029582,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9007667207,-6.61901285756,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9272609574,-6.593907695,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.9579084828,-6.77374023028,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.925697692,-6.97987760596,SP Botânica,GPS
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.88985391513247,-6.62077716160491,Floradata,1 Km
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.86359958607805,-6.6578945534769165,Floradata,1 Km
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.86505074355228,-6.730129998166196,Floradata,1 Km
Flora (vascular plants),Adenocarpus,Adenocarpus complicatus,Least Concern (LC),,Not Evaluated (NE),41.87452420493477,-6.753894452794556,Floradata,1 Km
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.8939912434,-6.834000349,INaturalist,GPS
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.893991,-6.834,GBIF,GPS
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.898016,-6.832412,GBIF,GPS
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.8960598896,-6.83616131527,SP Botânica,GPS
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.83709011414097,-6.6829474942897065,Floradata,1 Km
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.84584594392142,-6.670586975215425,Floradata,1 Km
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.84608954187998,-6.682622625683936,Floradata,1 Km
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.85484527899052,-6.670260274234573,Floradata,1 Km
Flora (vascular plants),Aegilops,Aegilops geniculata,Least Concern (LC),,Not Evaluated (NE),41.86457206808644,-6.706050927807732,Floradata,1 Km
